"","📋  Resultados Semanais — Set","","","","","","","","","","","","","","","","","","","","","","","",""
"","Gestor preenche semanalmente. O investimento da semana é puxado automaticamente da aba de tráfego.","","","","","","","","","","","","","","","","","","","","","","","",""
"","SEMANA","DADOS COLETADOS — preencha","","","","","","","","","","","","","","","","","","","","","","",""
"","Semana
(data início)","Leads
Agendados","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","0,0x","","","","","","","","","","","","","",""
"","","","","","","","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","0,0x","","","","","","","","","","","","","",""
"","","","","","","","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","0,0x","","","","","","","","","","","","","",""
"","","","","","","","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","0,0x","","","","","","","","","","","","","",""
"","","","","","","","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","0,0x","","","","","","","","","","","","","",""
"","TOTAL DO MÊS","0","0","0","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","0,0x","","","","","","","","","","","","","",""
